0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:50:46 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 7910
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:54:00 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 7965
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:55:15 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 7965
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:58:41 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 8179
0:0:0:0:0:0:0:1 - - [07/Apr/2017:09:59:24 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 7341
0:0:0:0:0:0:0:1 - - [07/Apr/2017:10:00:55 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 7341
0:0:0:0:0:0:0:1 - - [07/Apr/2017:10:02:43 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 7341
0:0:0:0:0:0:0:1 - - [07/Apr/2017:10:03:27 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 7965
0:0:0:0:0:0:0:1 - - [07/Apr/2017:10:05:48 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 7867
0:0:0:0:0:0:0:1 - - [07/Apr/2017:10:09:53 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 6741
0:0:0:0:0:0:0:1 - - [07/Apr/2017:10:11:26 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 6726
0:0:0:0:0:0:0:1 - - [07/Apr/2017:10:13:42 +0200] "GET /SmartHomeControlBoard/Home.jsp HTTP/1.1" 200 6718
